IMD_Frequency_MHz,Formula,Type
600,2*950 - 1300,2f1 - f2
575,2*950 - 1325,2f1 - f2
550,2*950 - 1350,2f1 - f2
525,2*950 - 1375,2f1 - f2
500,2*950 - 1400,2f1 - f2
475,2*950 - 1425,2f1 - f2
675,2*975 - 1275,2f1 - f2
600,2*975 - 1350,2f1 - f2
575,2*975 - 1375,2f1 - f2
550,2*975 - 1400,2f1 - f2
525,2*975 - 1425,2f1 - f2
500,2*975 - 1450,2f1 - f2
475,2*975 - 1475,2f1 - f2
675,2*1000 - 1325,2f1 - f2
600,2*1000 - 1400,2f1 - f2
575,2*1000 - 1425,2f1 - f2
550,2*1000 - 1450,2f1 - f2
525,2*1000 - 1475,2f1 - f2
500,2*1000 - 1500,2f1 - f2
475,2*1000 - 1525,2f1 - f2
675,2*1025 - 1375,2f1 - f2
600,2*1025 - 1450,2f1 - f2
575,2*1025 - 1475,2f1 - f2
550,2*1025 - 1500,2f1 - f2
525,2*1025 - 1525,2f1 - f2
500,2*1025 - 1550,2f1 - f2
475,2*1025 - 1575,2f1 - f2
675,2*1050 - 1425,2f1 - f2
600,2*1050 - 1500,2f1 - f2
575,2*1050 - 1525,2f1 - f2
550,2*1050 - 1550,2f1 - f2
525,2*1050 - 1575,2f1 - f2
500,2*1050 - 1600,2f1 - f2
475,2*1050 - 1625,2f1 - f2
675,2*1075 - 1475,2f1 - f2
600,2*1075 - 1550,2f1 - f2
575,2*1075 - 1575,2f1 - f2
550,2*1075 - 1600,2f1 - f2
525,2*1075 - 1625,2f1 - f2
500,2*1075 - 1650,2f1 - f2
475,2*1075 - 1675,2f1 - f2
675,2*1100 - 1525,2f1 - f2
600,2*1100 - 1600,2f1 - f2
575,2*1100 - 1625,2f1 - f2
550,2*1100 - 1650,2f1 - f2
525,2*1100 - 1675,2f1 - f2
500,2*1100 - 1700,2f1 - f2
475,2*1100 - 1725,2f1 - f2
675,2*1125 - 1575,2f1 - f2
600,2*1125 - 1650,2f1 - f2
575,2*1125 - 1675,2f1 - f2
550,2*1125 - 1700,2f1 - f2
525,2*1125 - 1725,2f1 - f2
515,2*1125 - 1735,2f1 - f2
505,2*1125 - 1745,2f1 - f2
495,2*1125 - 1755,2f1 - f2
485,2*1125 - 1765,2f1 - f2
475,2*1125 - 1775,2f1 - f2
675,2*1150 - 1625,2f1 - f2
600,2*1150 - 1700,2f1 - f2
575,2*1150 - 1725,2f1 - f2
565,2*1150 - 1735,2f1 - f2
555,2*1150 - 1745,2f1 - f2
545,2*1150 - 1755,2f1 - f2
535,2*1150 - 1765,2f1 - f2
525,2*1150 - 1775,2f1 - f2
515,2*1150 - 1785,2f1 - f2
505,2*1150 - 1795,2f1 - f2
495,2*1150 - 1805,2f1 - f2
485,2*1150 - 1815,2f1 - f2
475,2*1150 - 1825,2f1 - f2
675,2*1175 - 1675,2f1 - f2
615,2*1175 - 1735,2f1 - f2
605,2*1175 - 1745,2f1 - f2
595,2*1175 - 1755,2f1 - f2
585,2*1175 - 1765,2f1 - f2
575,2*1175 - 1775,2f1 - f2
565,2*1175 - 1785,2f1 - f2
555,2*1175 - 1795,2f1 - f2
545,2*1175 - 1805,2f1 - f2
535,2*1175 - 1815,2f1 - f2
525,2*1175 - 1825,2f1 - f2
515,2*1175 - 1835,2f1 - f2
505,2*1175 - 1845,2f1 - f2
495,2*1175 - 1855,2f1 - f2
485,2*1175 - 1865,2f1 - f2
475,2*1175 - 1875,2f1 - f2
675,2*1200 - 1725,2f1 - f2
665,2*1200 - 1735,2f1 - f2
655,2*1200 - 1745,2f1 - f2
615,2*1200 - 1785,2f1 - f2
605,2*1200 - 1795,2f1 - f2
595,2*1200 - 1805,2f1 - f2
585,2*1200 - 1815,2f1 - f2
575,2*1200 - 1825,2f1 - f2
565,2*1200 - 1835,2f1 - f2
555,2*1200 - 1845,2f1 - f2
545,2*1200 - 1855,2f1 - f2
535,2*1200 - 1865,2f1 - f2
525,2*1200 - 1875,2f1 - f2
515,2*1200 - 1885,2f1 - f2
505,2*1200 - 1895,2f1 - f2
495,2*1200 - 1905,2f1 - f2
485,2*1200 - 1915,2f1 - f2
475,2*1200 - 1925,2f1 - f2
695,2*1225 - 1755,2f1 - f2
685,2*1225 - 1765,2f1 - f2
675,2*1225 - 1775,2f1 - f2
665,2*1225 - 1785,2f1 - f2
655,2*1225 - 1795,2f1 - f2
615,2*1225 - 1835,2f1 - f2
605,2*1225 - 1845,2f1 - f2
595,2*1225 - 1855,2f1 - f2
585,2*1225 - 1865,2f1 - f2
575,2*1225 - 1875,2f1 - f2
565,2*1225 - 1885,2f1 - f2
555,2*1225 - 1895,2f1 - f2
545,2*1225 - 1905,2f1 - f2
535,2*1225 - 1915,2f1 - f2
525,2*1225 - 1925,2f1 - f2
515,2*1225 - 1935,2f1 - f2
505,2*1225 - 1945,2f1 - f2
495,2*1225 - 1955,2f1 - f2
485,2*1225 - 1965,2f1 - f2
475,2*1225 - 1975,2f1 - f2
695,2*1250 - 1805,2f1 - f2
685,2*1250 - 1815,2f1 - f2
675,2*1250 - 1825,2f1 - f2
665,2*1250 - 1835,2f1 - f2
655,2*1250 - 1845,2f1 - f2
615,2*1250 - 1885,2f1 - f2
605,2*1250 - 1895,2f1 - f2
595,2*1250 - 1905,2f1 - f2
585,2*1250 - 1915,2f1 - f2
575,2*1250 - 1925,2f1 - f2
565,2*1250 - 1935,2f1 - f2
555,2*1250 - 1945,2f1 - f2
545,2*1250 - 1955,2f1 - f2
535,2*1250 - 1965,2f1 - f2
525,2*1250 - 1975,2f1 - f2
515,2*1250 - 1985,2f1 - f2
505,2*1250 - 1995,2f1 - f2
495,2*1250 - 2005,2f1 - f2
485,2*1250 - 2015,2f1 - f2
475,2*1250 - 2025,2f1 - f2
695,2*1275 - 1855,2f1 - f2
685,2*1275 - 1865,2f1 - f2
675,2*1275 - 1875,2f1 - f2
665,2*1275 - 1885,2f1 - f2
655,2*1275 - 1895,2f1 - f2
615,2*1275 - 1935,2f1 - f2
605,2*1275 - 1945,2f1 - f2
595,2*1275 - 1955,2f1 - f2
585,2*1275 - 1965,2f1 - f2
575,2*1275 - 1975,2f1 - f2
565,2*1275 - 1985,2f1 - f2
555,2*1275 - 1995,2f1 - f2
545,2*1275 - 2005,2f1 - f2
535,2*1275 - 2015,2f1 - f2
525,2*1275 - 2025,2f1 - f2
515,2*1275 - 2035,2f1 - f2
505,2*1275 - 2045,2f1 - f2
495,2*1275 - 2055,2f1 - f2
485,2*1275 - 2065,2f1 - f2
475,2*1275 - 2075,2f1 - f2
695,2*1300 - 1905,2f1 - f2
685,2*1300 - 1915,2f1 - f2
675,2*1300 - 1925,2f1 - f2
665,2*1300 - 1935,2f1 - f2
655,2*1300 - 1945,2f1 - f2
615,2*1300 - 1985,2f1 - f2
605,2*1300 - 1995,2f1 - f2
595,2*1300 - 2005,2f1 - f2
585,2*1300 - 2015,2f1 - f2
575,2*1300 - 2025,2f1 - f2
565,2*1300 - 2035,2f1 - f2
555,2*1300 - 2045,2f1 - f2
545,2*1300 - 2055,2f1 - f2
535,2*1300 - 2065,2f1 - f2
525,2*1300 - 2075,2f1 - f2
515,2*1300 - 2085,2f1 - f2
505,2*1300 - 2095,2f1 - f2
495,2*1300 - 2105,2f1 - f2
485,2*1300 - 2115,2f1 - f2
475,2*1300 - 2125,2f1 - f2
695,2*1325 - 1955,2f1 - f2
685,2*1325 - 1965,2f1 - f2
675,2*1325 - 1975,2f1 - f2
665,2*1325 - 1985,2f1 - f2
655,2*1325 - 1995,2f1 - f2
615,2*1325 - 2035,2f1 - f2
605,2*1325 - 2045,2f1 - f2
595,2*1325 - 2055,2f1 - f2
585,2*1325 - 2065,2f1 - f2
575,2*1325 - 2075,2f1 - f2
565,2*1325 - 2085,2f1 - f2
555,2*1325 - 2095,2f1 - f2
545,2*1325 - 2105,2f1 - f2
535,2*1325 - 2115,2f1 - f2
525,2*1325 - 2125,2f1 - f2
515,2*1325 - 2135,2f1 - f2
505,2*1325 - 2145,2f1 - f2
495,2*1325 - 2155,2f1 - f2
485,2*1325 - 2165,2f1 - f2
475,2*1325 - 2175,2f1 - f2
695,2*1350 - 2005,2f1 - f2
685,2*1350 - 2015,2f1 - f2
675,2*1350 - 2025,2f1 - f2
665,2*1350 - 2035,2f1 - f2
655,2*1350 - 2045,2f1 - f2
615,2*1350 - 2085,2f1 - f2
605,2*1350 - 2095,2f1 - f2
595,2*1350 - 2105,2f1 - f2
585,2*1350 - 2115,2f1 - f2
575,2*1350 - 2125,2f1 - f2
565,2*1350 - 2135,2f1 - f2
555,2*1350 - 2145,2f1 - f2
545,2*1350 - 2155,2f1 - f2
535,2*1350 - 2165,2f1 - f2
525,2*1350 - 2175,2f1 - f2
515,2*1350 - 2185,2f1 - f2
505,2*1350 - 2195,2f1 - f2
495,2*1350 - 2205,2f1 - f2
485,2*1350 - 2215,2f1 - f2
475,2*1350 - 2225,2f1 - f2
695,2*1375 - 2055,2f1 - f2
685,2*1375 - 2065,2f1 - f2
675,2*1375 - 2075,2f1 - f2
665,2*1375 - 2085,2f1 - f2
655,2*1375 - 2095,2f1 - f2
615,2*1375 - 2135,2f1 - f2
605,2*1375 - 2145,2f1 - f2
595,2*1375 - 2155,2f1 - f2
585,2*1375 - 2165,2f1 - f2
575,2*1375 - 2175,2f1 - f2
565,2*1375 - 2185,2f1 - f2
555,2*1375 - 2195,2f1 - f2
545,2*1375 - 2205,2f1 - f2
535,2*1375 - 2215,2f1 - f2
525,2*1375 - 2225,2f1 - f2
695,2*1400 - 2105,2f1 - f2
685,2*1400 - 2115,2f1 - f2
675,2*1400 - 2125,2f1 - f2
665,2*1400 - 2135,2f1 - f2
655,2*1400 - 2145,2f1 - f2
615,2*1400 - 2185,2f1 - f2
605,2*1400 - 2195,2f1 - f2
595,2*1400 - 2205,2f1 - f2
585,2*1400 - 2215,2f1 - f2
575,2*1400 - 2225,2f1 - f2
695,2*1425 - 2155,2f1 - f2
685,2*1425 - 2165,2f1 - f2
675,2*1425 - 2175,2f1 - f2
665,2*1425 - 2185,2f1 - f2
655,2*1425 - 2195,2f1 - f2
695,2*1450 - 2205,2f1 - f2
685,2*1450 - 2215,2f1 - f2
675,2*1450 - 2225,2f1 - f2
